State,Population,Housing_Val
AL,4874747,121400
AK,739795,308400
AZ,7016270,230900
AR,3004279,116900
CA,39536653,521800
CO,5607154,350800
CT,3588184,236000
DE,961939,236400
DC,693972,548500
FL,20984400,214200
GA,10429379,166900
HI,1427538,589300
ID,1716943,219200
IL,12802023,171200
IN,6666818,128000
IA,3145711,136900
KS,2913123,131400
KY,4454189,135000
LA,4684333,142300
ME,1335907,216600
MD,6052177,275800
MA,6859819,384000
MI,9962311,137500
MN,5576606,218700
MS,2984100,117000
MO,6113532,147100
MT,1050493,214500
NE,1920076,152000
NV,2998039,258600
NH,1342795,255100
NJ,9005644,306600
NM,2088070,179000
NY,19849399,277400
NC,10273419,167100
ND,755393,203300
OH,11658609,129200
OK,3930864,116400
OR,4142776,323000
PA,12805537,163300
RI,1059639,265500
SC,5024369,153100
SD,869666,176200
TN,6715984,151100
TX,28304596,179500
UT,3101833,291300
VT,623657,194100
VA,8470020,246400
WA,7405743,354700
WV,1815857,92400
WI,5795483,173600
WY,579315,213000
